coordinate_mean,exact_fraction,exact_in_wilson95,exact_probability,n,observed_probability,successes,threshold,trials,wilson95_high,wilson95_low,z_score
1,1/2,True,0.5,1,0.5048,15144,2,30000,0.5104566912321579,0.49914207965840535,1.6627687752661313
1,4/9,True,0.4444444444444444,2,0.4455,13365,3,30000,0.4511308393481856,0.439883116165212,0.36793341788971573
1,27/64,True,0.421875,3,0.4191,12573,4,30000,0.4246933873523042,0.4135273282629959,-0.9732420048477247
1,3125/7776,True,0.4018775720164609,5,0.4049,12147,6,30000,0.41046647885558835,0.3993578728751291,1.0677624900577647
1,16777216/43046721,False,0.38974434312894585,8,0.38253333333333334,11476,9,30000,0.38804761300032914,0.3770491327056114,-2.5610077677916947
1,302875106592253/793714773254144,True,0.3815918725444634,13,0.3833666666666667,11501,14,30000,0.38888310982678964,0.3778800891587627,0.6328072652923956
1,5842587018385982521381124421/15519448971100888972574851072,True,0.3764687154334921,21,0.37766666666666665,11330,22,30000,0.3831679691023049,0.3721966894507036,0.4282587016913126
1,11756638905368616011414050501310355554617941909569536/31500214267261391312908183811814524233341217041015625,True,0.3732240931956915,34,0.37073333333333336,11122,35,30000,0.3762151311164669,0.36528463615017265,-0.8919725785048106
1,524744532468751923546122657597368049278513737089035272057324643668607677682302892208099365234375/1413648658336838689425757250322558119141468666297262325417185766401503043287576967313439143755776,True,0.37119869167924313,55,0.3713666666666667,11141,56,30000,0.37685029599546005,0.3659159757636843,0.06022063184050137
1,313119843606264301926053344163576361349265045995115651405929697601914062309331717222037671868698420619053704956499930323034173850662765737986672484408801585719796136592384409/846414978287404359325441419117950686115831126693279963600017397166190414922589311328900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,0.3699365578806463,89,0.3725,11175,90,30000,0.3779868817357612,0.36704576648365494,0.9196622854431746
1,1/2,True,0.5,1,0.504,15120,2,30000,0.5096568733093904,0.49834210243274557,1.385640646055103
1,4/9,True,0.4444444444444444,2,0.44343333333333335,13303,3,30000,0.44906182419263463,0.43781932718732597,-0.35244148450486196
1,27/64,True,0.421875,3,0.424,12720,4,30000,0.4296015672458792,0.4184178936535375,0.7452754091176155
1,3125/7776,True,0.4018775720164609,5,0.40513333333333335,12154,6,30000,0.41070029310000894,0.39959066554899986,1.1501944230501855
1,16777216/43046721,True,0.38974434312894585,8,0.3900666666666667,11702,9,30000,0.3955998850500931,0.3845615983035369,0.11447399285844641
1,302875106592253/793714773254144,True,0.3815918725444634,13,0.3858333333333333,11575,14,30000,0.3913560803583963,0.3803398203348064,1.5123034097710815
1,5842587018385982521381124421/15519448971100888972574851072,True,0.3764687154334921,21,0.3758666666666667,11276,22,30000,0.38136302060481725,0.3704020988642301,-0.2152279793161925
1,11756638905368616011414050501310355554617941909569536/31500214267261391312908183811814524233341217041015625,True,0.3732240931956915,34,0.3749,11247,35,30000,0.38039366313922796,0.3694383705254699,0.6001634024074699
1,524744532468751923546122657597368049278513737089035272057324643668607677682302892208099365234375/1413648658336838689425757250322558119141468666297262325417185766401503043287576967313439143755776,True,0.37119869167924313,55,0.3695333333333333,11086,56,30000,0.3750116331994551,0.36408844134454366,-0.5970468185162794
1,313119843606264301926053344163576361349265045995115651405929697601914062309331717222037671868698420619053704956499930323034173850662765737986672484408801585719796136592384409/846414978287404359325441419117950686115831126693279963600017397166190414922589311328900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,0.3699365578806463,89,0.3708666666666667,11126,90,30000,0.37634885087471026,0.3654175489166671,0.3336864778042864
1,1/2,True,0.5,1,0.49746666666666667,14924,2,30000,0.503124484865979,0.49180949716400146,-0.8775724091682306
1,4/9,True,0.4444444444444444,2,0.4434666666666667,13304,3,30000,0.4490951961862238,0.43785261332492126,-0.340822534466241
1,27/64,True,0.421875,3,0.4242666666666667,12728,4,30000,0.4298686629092143,0.4186840630396782,0.8388001663402279
1,3125/7776,True,0.4018775720164609,5,0.4010666666666667,12032,6,30000,0.406625058183451,0.39553360846105284,-0.2864764091032465
1,16777216/43046721,True,0.38974434312894585,8,0.3920666666666667,11762,9,30000,0.3976046800643763,0.38655629116032164,0.8247788850664488
1,302875106592253/793714773254144,True,0.3815918725444634,13,0.3849666666666667,11549,14,30000,0.39048721584791074,0.37947557343449595,1.2032912509001998
1,5842587018385982521381124421/15519448971100888972574851072,True,0.3764687154334921,21,0.3741,11223,22,30000,0.37959141865473844,0.3686408198615322,-0.846798240305061
1,11756638905368616011414050501310355554617941909569536/31500214267261391312908183811814524233341217041015625,True,0.3732240931956915,34,0.3747666666666667,11243,35,30000,0.3802599568337475,0.3693054443062124,0.552415051018282
1,524744532468751923546122657597368049278513737089035272057324643668607677682302892208099365234375/1413648658336838689425757250322558119141468666297262325417185766401503043287576967313439143755776,True,0.37119869167924313,55,0.3735,11205,56,30000,0.3789897248079669,0.3680426673469833,0.8250409377101969
1,313119843606264301926053344163576361349265045995115651405929697601914062309331717222037671868698420619053704956499930323034173850662765737986672484408801585719796136592384409/846414978287404359325441419117950686115831126693279963600017397166190414922589311328900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,0.3699365578806463,89,0.36923333333333336,11077,90,30000,0.3747107530639508,0.3637893982993878,-0.2522893298346018
1,1/2,True,0.5,1,0.5005,15015,2,30000,0.5061574996156276,0.4948423723521393,0.17320508075686863
1,4/9,True,0.4444444444444444,2,0.44556666666666667,13367,3,30000,0.45119758013366695,0.4399496916420995,0.39117131796695764
1,27/64,True,0.421875,3,0.41856666666666664,12557,4,30000,0.42415912962382374,0.41299505589252494,-1.1602915192929302
1,3125/7776,True,0.4018775720164609,5,0.40586666666666665,12176,6,30000,0.41143512939635346,0.40032230813871356,1.409266212454894
1,16777216/43046721,True,0.38974434312894585,8,0.3884,11652,9,30000,0.39392914807643337,0.3828994287179734,-0.47744675064821573
1,302875106592253/793714773254144,True,0.3815918725444634,13,0.3842333333333333,11527,14,30000,0.38975200839865676,0.3787443019976916,0.9418194241632772
1,5842587018385982521381124421/15519448971100888972574851072,True,0.3764687154334921,21,0.37546666666666667,11264,22,30000,0.3809619099939974,0.3700033119008363,-0.3582250195400891
